Name,Age,Year
Fredd Young,26,1987
Jim Arnold,26,1987
Joey Browner,27,1987
Reggie White,26,1987
Morten Andersen,27,1987
Mike Munchak,27,1987
Hanford Dixon,29,1987
Jerry Rice,25,1987
Eric Dickerson,27,1987
Mark Bavaro,24,1987
Bill Fralic,25,1987
Mike Singletary,29,1987
Charles White,29,1987
Ronnie Lott,28,1987
Bruce Smith,24,1987
Gary Zimmerman,26,1987
Steve McMichael,30,1987
Carl Banks,25,1987
Michael Carter,27,1987
Frank Minnifield,27,1987
Joe Montana,31,1987
Andre Tippett,28,1987
Anthony Munoz,29,1987
Dwight Stephenson,30,1987
John Elway,27,1987
Steve Largent,33,1987
Chris Doleman,26,1987
Keith Bostic,26,1987
Karl Mecklenburg,27,1987
Bill Maas,25,1987
Jackie Slater,33,1987
Ron Solt,25,1987
Curt Warner,26,1987
Jay Hilgenberg,28,1987
Lawrence Taylor,28,1987
Chris Hinton,26,1987
Ron Wolfley,25,1987
Dean Biasucci,25,1987
Duane Bickett,25,1987
Gary Clark,25,1987
Mike Quick,28,1987
Darrell Green,27,1987
Al Toon,24,1987
Mike Webster,35,1987
Jacob Green,30,1987
Vai Sikahema,25,1987
Herschel Walker,25,1987
Kenny Easley,28,1987
Ralf Mojsiejenko,24,1987
Jerry Gray,25,1987
Todd Christensen,31,1987
Wilber Marshall,25,1987
Dave Waymer,29,1987
Kellen Winslow,30,1987
Jim Lachey,24,1987
Rueben Mayes,24,1987
Steve Tasker,25,1987
Ray Donaldson,29,1987
Charles Mann,26,1987
Keith Bishop,30,1987
Dave Duerson,27,1987
Tim Krumrie,27,1987
Anthony Carter,27,1987
Carlos Carson,29,1987
Deron Cherry,28,1987
Albert Lewis,27,1987
Luis Sharpe,27,1987
Roger Craig,27,1987
Dennis Harrah,34,1987
John Offerdahl,23,1987
Bernie Kosar,24,1987
Neil Lomax,28,1987
Steve Jordan,26,1987
Mike Rozier,26,1987
Brad Edelman,27,1987
Cody Risien,30,1987
Clay Matthews,31,1987
Gerald Riggs,27,1987
Kevin Mack,25,1987
Bob Golic,30,1987
Jim Kelly,27,1987
Harry Carson,34,1987
Gerald McNeil,25,1987
Doug Smith,31,1987
Dan Marino,26,1987
Howie Long,27,1987
Marcus Allen,27,1987
Scott Studwell,33,1987
Hoby Brenner,28,1987
Sam Mills,28,1987
Stanley Morgan,32,1987
Joey Browner,28,1988
Reggie White,27,1988
Eric Dickerson,28,1988
Frank Minnifield,28,1988
Anthony Munoz,30,1988
Boomer Esiason,27,1988
Mike Singletary,30,1988
Jay Hilgenberg,29,1988
Roger Craig,28,1988
Bruce Smith,25,1988
Cornelius Bennett,23,1988
Bruce Matthews,27,1988
Keith Jackson,23,1988
Deron Cherry,29,1988
Lawrence Taylor,29,1988
Jerry Rice,26,1988
Carl Lee,27,1988
Tom Newberry,26,1988
Henry Ellard,27,1988
Tim Krumrie,28,1988
Mike Horan,29,1988
Shane Conlan,24,1988
Scott Norwood,28,1988
John Taylor,26,1988
Tim Brown,22,1988
Keith Millard,26,1988
Jim Arnold,27,1988
Gary Zimmerman,27,1988
Al Toon,25,1988
Eddie Brown,26,1988
Mickey Shuler,32,1988
Mike Munchak,28,1988
Bill Fralic,26,1988
Ronnie Lott,29,1988
Michael Carter,28,1988
Jackie Slater,34,1988
Herschel Walker,26,1988
Andre Tippett,29,1988
Ray Childress,26,1988
Randall Cunningham,25,1988
John Offerdahl,24,1988
David Fulcher,24,1988
Luis Sharpe,28,1988
Albert Lewis,28,1988
John Stephens,22,1988
Ray Donaldson,30,1988
Max Montoya,32,1988
Jerry Gray,26,1988
Dave Duerson,28,1988
Kent Hull,27,1988
Scott Case,26,1988
Tunch Ilkin,31,1988
Morten Andersen,28,1988
Charles Haley,24,1988
Mark May,29,1988
Fred Smerlas,31,1988
Chris Hinton,27,1988
Mike Cofer,28,1988
Mark Clayton,27,1988
Lee Williams,26,1988
Rodney Holman,28,1988
Eric Thomas,24,1988
Hanford Dixon,30,1988
Clay Matthews,32,1988
James Brooks,30,1988
Mark Bortz,27,1988
Neal Anderson,24,1988
Dino Hackett,24,1988
Warren Moon,32,1988
Drew Hill,32,1988
Anthony Carter,28,1988
Chris Doleman,27,1988
Steve Jordan,27,1988
Erik McMillan,23,1988
Scott Studwell,34,1988
Sam Mills,29,1988
Eric Martin,27,1988
Johnny Rembert,27,1988
John Settle,23,1988
Andre Reed,24,1988
Jim Kelly,28,1988
Charles Mann,27,1988
Rufus Porter,23,1988
Dave Krieg,30,1988
Doug Smith,32,1988
Matt Millen,30,1988
J.T. Smith,33,1988
Ron Wolfley,26,1988
Mike Rozier,27,1988
Brian Sochia,27,1988
John Grimsley,26,1988
Terry Kinard,29,1988
Wade Wilson,29,1988
Keith Millard,27,1989
Jerry Rice,27,1989
Tim Harris,25,1989
Anthony Munoz,31,1989
Sterling Sharpe,24,1989
Albert Lewis,29,1989
Christian Okoye,28,1989
Joe Montana,33,1989
Chris Doleman,28,1989
Tom Newberry,27,1989
David Fulcher,25,1989
Barry Sanders,21,1989
Mike Singletary,31,1989
Reggie White,28,1989
Karl Mecklenburg,29,1989
Michael Dean Perry,24,1989
Jay Hilgenberg,30,1989
Rod Woodson,24,1989
Lawrence Taylor,30,1989
Bruce Matthews,28,1989
Mike Munchak,29,1989
Ronnie Lott,30,1989
Keith Jackson,24,1989
Eric Allen,24,1989
Rodney Holman,29,1989
Eddie Murray,33,1989
Kevin Greene,27,1989
Vaughan Johnson,27,1989
Lee Williams,27,1989
Kent Hull,28,1989
Thurman Thomas,23,1989
Tim McDonald,24,1989
Jackie Slater,35,1989
Joey Browner,29,1989
Jerry Gray,27,1989
Jerry Ball,25,1989
Rufus Porter,24,1989
Chris Hinton,28,1989
Andre Reed,25,1989
Bruce Smith,26,1989
Gary Zimmerman,28,1989
Neal Anderson,25,1989
Dave Meggett,23,1989
Derrick Thomas,22,1989
Leslie O'Neal,25,1989
Mike Johnson,27,1989
David Treadwell,24,1989
Frank Minnifield,29,1989
Dennis Smith,30,1989
Erik McMillan,24,1989
Boomer Esiason,28,1989
Anthony Miller,24,1989
Webster Slaughter,25,1989
Randall McDaniel,25,1989
Warren Moon,33,1989
Bill Fralic,27,1989
Greg Kragen,27,1989
Ron Wolfley,27,1989
Pat Swilling,25,1989
Dalton Hilliard,25,1989
Steve Jordan,28,1989
Reggie Roby,28,1989
Max Montoya,33,1989
Don Majkowski,25,1989
Rich Camarillo,30,1989
Mark Carrier,24,1989
Brian Blades,24,1989
James Brooks,31,1989
Clay Matthews,33,1989
Charles Mann,28,1989
Ray Donaldson,31,1989
Henry Ellard,28,1989
Howie Long,29,1989
Roger Craig,29,1989
John Taylor,27,1989
Chris Spielman,24,1989
Kevin Ross,27,1989
Ferrell Edmunds,24,1989
John Offerdahl,25,1989
Carl Lee,28,1989
Mark Rypien,27,1989
Guy McIntyre,28,1989
Dave Krieg,31,1989
Doug Smith,33,1989
Tunch Ilkin,32,1989
Randall Cunningham,26,1989
Johnny Rembert,28,1989
Anthony Carter,29,1989
Brent Fullwood,26,1989
John Elway,29,1989
Luis Sharpe,29,1989
Eric Dickerson,29,1989
Shane Conlan,25,1989
Andre Rison,23,1990
John Offerdahl,26,1990
Keith Jackson,25,1990
Derrick Thomas,23,1990
Rod Woodson,25,1990
Nick Lowery,34,1990
Barry Sanders,22,1990
Joey Browner,30,1990
Michael Dean Perry,25,1990
Bruce Matthews,29,1990
Pepper Johnson,26,1990
Sean Landeta,28,1990
Jim Lachey,27,1990
Jerry Rice,28,1990
Kent Hull,29,1990
Thurman Thomas,24,1990
Bruce Smith,27,1990
Reggie White,29,1990
Mel Gray,29,1990
Charles Haley,26,1990
Albert Lewis,30,1990
Anthony Munoz,32,1990
Steve Wisniewski,23,1990
Ronnie Lott,31,1990
Greg Townsend,29,1990
Randall Cunningham,27,1990
Ray Childress,28,1990
Darrell Green,30,1990
Mark Carrier,22,1990
Warren Moon,34,1990
Randall McDaniel,26,1990
Joe Montana,34,1990
Jerome Brown,25,1990
Clarence Verdin,27,1990
Darryl Talley,30,1990
Mark Bortz,29,1990
Reyna Thompson,27,1990
Marion Butts,24,1990
Rohn Stark,31,1990
Andre Reed,26,1990
Rodney Holman,30,1990
Neal Anderson,26,1990
Lawrence Taylor,31,1990
Steve Atwater,24,1990
David Fulcher,26,1990
Mike Singletary,32,1990
Jay Hilgenberg,31,1990
Richard Dent,30,1990
David Little,31,1990
Jerry Ball,26,1990
Lomas Brown,27,1990
Jackie Slater,36,1990
Drew Hill,34,1990
Ernest Givins,26,1990
Bruce Armstrong,25,1990
Guy McIntyre,29,1990
Wayne Haddix,25,1990
Cornelius Bennett,25,1990
Steve Tasker,28,1990
Sterling Sharpe,25,1990
Don Mosebar,29,1990
Kevin Ross,28,1990
Jeff Cross,24,1990
Leslie O'Neal,26,1990
Chris Doleman,29,1990
Mike Munchak,30,1990
Vaughan Johnson,28,1990
Pat Swilling,26,1990
Jim Kelly,30,1990
Shane Conlan,26,1990
Earnest Byner,28,1990
Gary Clark,28,1990
James Brooks,32,1990
Anthony Miller,25,1990
Bart Oates,32,1990
Bo Jackson,28,1990
Richmond Webb,23,1990
Johnny Johnson,22,1990
William Roberts,28,1990
Erik Howard,26,1990
Morten Andersen,30,1990
Carl Lee,29,1990
Steve Jordan,29,1990
Will Wolford,26,1990
Mike Johnson,28,1990
Chris Spielman,25,1990
Emmitt Smith,21,1990
John Williams,26,1990
Ferrell Edmunds,25,1990
Bobby Humphrey,24,1990
Dennis Smith,31,1990
Jim Everett,27,1990
Michael Irvin,25,1991
Marv Cook,25,1991
Jim Kelly,31,1991
Pat Swilling,27,1991
Darrell Green,31,1991
Reggie White,30,1991
Steve Wisniewski,24,1991
Clyde Simmons,27,1991
Thurman Thomas,25,1991
Barry Sanders,23,1991
Jim Lachey,28,1991
Jeff Gossett,34,1991
Ronnie Lott,32,1991
Steve Atwater,25,1991
Jerry Ball,27,1991
Jerome Brown,26,1991
Derrick Thomas,24,1991
Mike Munchak,31,1991
Jeff Jaeger,27,1991
Deion Sanders,24,1991
Sam Mills,32,1991
Mel Gray,30,1991
Haywood Jeffires,27,1991
Al Smith,27,1991
Cris Dishman,26,1991
Bruce Matthews,30,1991
Randall McDaniel,27,1991
Seth Joyner,27,1991
Jerry Rice,29,1991
Mike Singletary,33,1991
Chip Lohmiller,25,1991
Ray Childress,29,1991
Cornelius Bennett,26,1991
Mark Carrier,23,1991
Michael Dean Perry,26,1991
Steve Tasker,29,1991
Jay Novacek,29,1991
Mark Rypien,29,1991
Emmitt Smith,22,1991
Greg Townsend,30,1991
Anthony Munoz,33,1991
Lomas Brown,28,1991
Bennie Blades,25,1991
Andre Rison,24,1991
Don Mosebar,30,1991
Guy McIntyre,30,1991
William Fuller,29,1991
Bruce Armstrong,26,1991
Rich Camarillo,32,1991
Andre Reed,27,1991
Junior Seau,22,1991
Chris Spielman,26,1991
Jay Hilgenberg,32,1991
Tim McDonald,26,1991
Christian Okoye,30,1991
Gary Clark,29,1991
Gill Byrd,30,1991
Bennie Thompson,28,1991
Vaughan Johnson,29,1991
Tim Brown,25,1991
Karl Mecklenburg,31,1991
Gaston Green,25,1991
Jim Ritcher,33,1991
Eric Allen,26,1991
Earnest Byner,29,1991
Charles Mann,30,1991
Rod Woodson,26,1991
Cortez Kennedy,23,1991
Marion Butts,25,1991
Mark Schlereth,25,1991
Charles Haley,27,1991
John Williams,27,1991
Chris Hinton,30,1991
Mark Clayton,30,1991
Chris Miller,26,1991
James Lofton,35,1991
Darryl Talley,31,1991
Neal Anderson,27,1991
Shaun Gayle,29,1991
Troy Aikman,25,1991
John Elway,31,1991
Dennis Smith,32,1991
Neil Smith,25,1991
Ethan Horton,29,1991
Dan Marino,30,1991
Richmond Webb,24,1991
Steve Jordan,30,1991
Henry Thomas,26,1991
Bart Oates,33,1991
Ken O'Brien,31,1991
Warren Moon,35,1991
Greg Lloyd,26,1991
Steve Young,31,1992
Jerry Rice,30,1992
Cortez Kennedy,24,1992
Junior Seau,23,1992
Rod Woodson,27,1992
Barry Foster,24,1992
Bruce Matthews,31,1992
Chris Doleman,31,1992
Sterling Sharpe,27,1992
Emmitt Smith,23,1992
Deion Sanders,25,1992
Randall McDaniel,28,1992
Steve Atwater,26,1992
Wilber Marshall,30,1992
Henry Jones,25,1992
Steve Wisniewski,25,1992
Ray Childress,30,1992
Sam Mills,33,1992
Morten Andersen,32,1992
Reggie White,31,1992
Rich Camarillo,33,1992
Derrick Thomas,25,1992
Audray McMillian,30,1992
Jay Novacek,30,1992
Richmond Webb,25,1992
Rohn Stark,33,1992
Bruce Smith,29,1992
Rickey Jackson,34,1992
Steve Wallace,28,1992
Tim McDonald,27,1992
Mark Stepnoski,25,1992
Keith Jackson,27,1992
Mel Gray,31,1992
Pat Swilling,28,1992
Al Smith,28,1992
Steve Tasker,30,1992
Gary Zimmerman,31,1992
Barry Sanders,24,1992
Thurman Thomas,26,1992
Pierce Holt,30,1992
Dan Marino,31,1992
Mike Munchak,32,1992
Gill Byrd,31,1992
Leslie O'Neal,28,1992
Guy McIntyre,31,1992
Haywood Jeffires,28,1992
Clyde Simmons,28,1992
Bryan Cox,24,1992
Clarence Verdin,29,1992
Anthony Miller,27,1992
Lomas Brown,29,1992
Cornelius Bennett,27,1992
Howard Ballard,29,1992
Brent Jones,29,1992
Vaughan Johnson,30,1992
Elbert Shelley,28,1992
Johnny Bailey,25,1992
Eric Allen,27,1992
Nate Newton,31,1992
Carlton Haselrig,26,1992
Chuck Cecil,28,1992
Henry Thomas,27,1992
Todd Scott,24,1992
Andre Rison,25,1992
Michael Irvin,26,1992
Terry McDaniel,27,1992
Will Wolford,28,1992
Neil Smith,26,1992
Jim Kelly,32,1992
Ronnie Harmon,28,1992
Warren Moon,36,1992
Mike Singletary,34,1992
Ricky Watters,23,1992
Harold Green,24,1992
Jessie Tuggle,27,1992
Robert Massey,25,1992
Troy Aikman,26,1992
Ernest Givins,28,1992
Eugene Robinson,29,1992
Michael Brooks,28,1992
Shannon Sharpe,24,1992
Brett Favre,23,1992
John Alt,30,1992
