,Year_x,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Year_y
6,1987,Bruce Armstrong,Louisville,OT,76.0,284,5.05,22,27.0,100,4.81,7.31,1990
12,1987,Jerry Ball,Southern Methodist (TX),DT,72.1,292,5.14,23,24.0,96,4.77,7.31,1989
15,1987,Harris Barton,North Carolina,C,76.3,280,5.03,24,31.0,106,4.46,7.31,1993
16,1987,Steve Beuerlein,Notre Dame,QB,74.4,203,5.1,3,23.0,93,4.63,7.31,1999
17,1987,Jerome Brown,Miami (FL),DT,74.3,292,4.86,17,28.7,109,4.45,7.31,1990
21,1987,Mark Carrier,Nicholls State (LA),WR,71.8,182,4.46,9,30.0,114,4.51,7.31,1989
25,1987,Curtis Duncan,Northwestern,WR,70.3,180,4.44,12,31.0,117,4.56,7.31,1992
26,1987,Thomas Everett,Baylor,FS,68.0,177,4.56,11,28.7,109,4.45,7.31,1993
27,1987,Rich Gannon,Delaware,QB,74.3,193,4.58,7,32.5,110,4.11,7.31,1999
31,1987,Kevin Gogan,Washington,OG,79.0,310,5.46,15,20.5,88,4.88,7.31,1994
34,1987,Wayne Haddix,Liberty (VA),CB,73.1,200,4.67,8,37.0,122,4.35,7.31,1990
35,1987,Jim Harbaugh,Michigan,QB,74.3,203,4.81,15,28.7,109,4.45,7.31,1995
39,2011,Mark Ingram,Alabama,RB,69.13,215,4.62,21,31.5,113,4.62,7.13,2014
42,1987,Jeff Jaeger,Washington,K,71.4,190,4.96,6,26.0,103,4.49,7.31,1991
43,1987,Haywood Jeffires,North Carolina State,WR,74.1,191,4.41,15,28.7,109,4.45,7.31,1991
46,1987,Don Majkowski,Virginia,QB,73.5,199,4.83,15,34.0,116,4.13,7.31,1989
47,1987,Chris Miller,Oregon,QB,73.4,190,4.74,15,30.5,117,4.35,7.31,1991
50,1987,Dan Morgan,Penn State,OG,78.3,288,5.25,14,25.0,93,4.84,7.31,2004
51,1987,Hardy Nickerson,California,ILB,73.5,223,4.82,19,28.0,108,4.15,7.31,1993
61,1987,Nate Odomes,Wisconsin,CB,69.3,188,4.43,18,33.5,119,4.3,7.31,1992
63,1987,Christian Okoye,Azusa Pacific (CA),RB,73.6,250,4.81,21,31.0,109,4.45,7.31,1989
65,1987,John Settle,Appalachian State (NC),RB,69.3,207,4.75,10,29.0,112,4.51,7.31,1988
66,1987,Al Smith,Utah State,OLB,72.3,228,4.66,24,26.0,111,4.5,7.31,1991
73,2007,Steve Smith,Southern California,WR,71.75,197,4.45,22,38.0,120,4.19,6.68,2009
74,1987,Vinny Testaverde,Miami (FL),QB,76.3,213,4.75,13,28.7,109,4.45,7.31,1996
76,1987,Eric Thomas,Tulane (LA),CB,70.3,171,4.38,7,35.0,126,4.22,7.31,1988
77,1987,Henry Thomas,Louisiana State,DT,73.8,268,4.95,18,27.0,98,4.67,7.31,1991
